Name,Discount,New Price,Old Price,Positive Reviews,Number of Reviews
Starpoint Gemini 2 Gold Pack,80,29.99,149.99,70.0,2929.0
Suzerain,20,43.19,53.99,94.0,1500.0
RIDE,80,14.39,71.99,76.0,1463.0
Rebel Cops & This Is the Police Bundle,69,47.04,149.97,81.0,11131.0
Agatha Christie - The ABC Murders,85,8.09,53.99,80.0,921.0
CryoFall,70,17.99,59.99,79.0,1972.0
Road Redemption - Revengers Assemble,65,6.29,17.99,87.0,32.0
Desktop Ricardo,50,1.79,3.59,97.0,501.0
Nova Odessa,75,4.49,17.99,,
Hot Brass,20,43.19,53.99,75.0,78.0
Play With Me: Escape room,74,2.85,10.99,67.0,160.0
Rebel Cops,50,19.99,39.99,77.0,847.0
The Traditional Roguelikes Bundle,17,173.44,209.45,94.0,9289.0
Europa Universalis IV: Sabaton Soundtrack,50,5.49,10.99,96.0,226.0
Atomik: RunGunJumpGun,90,2.89,28.99,88.0,220.0
BalanCity,90,2.89,28.99,82.0,410.0
Evil Maze - The Enemy of Abyss,50,5.49,10.99,,
Monster Jam Steel Titans - Bakugan Dragonoid Truck,75,2.24,8.99,,
Monster Jam Steel Titans - Gold Truck Bundle,75,2.24,8.99,,
OctoFurry,60,2.87,7.19,91.0,60.0
Dwarrows,33,72.35,107.99,81.0,59.0
Reveal The Deep,50,1.79,3.59,84.0,1290.0
Gloria Victis - Supporter Pack,30,25.19,35.99,100.0,11.0
League of Maidens® Standard Edition,10,48.59,53.99,,
Deep Rock Galactic - Roughneck Pack,35,18.84,28.99,98.0,158.0
Dying Light - Volatile Hunter Bundle,33,6.69,9.99,86.0,246.0
Save daddy trump 2: The Final Triumph,75,1.79,7.19,89.0,38.0
Vaporum,60,28.79,71.99,89.0,592.0
DEEEER Simulator,25,35.24,46.99,89.0,1209.0
Press X to Not Die: Special Edition,69,4.57,14.58,91.0,2731.0
Mambo Wave,50,3.59,7.19,100.0,14.0
Starpoint Gemini 2: Secrets of Aethera,80,3.59,17.99,61.0,26.0
Starpoint Gemini 2: Titans,80,3.59,17.99,50.0,14.0
Congo,80,3.59,17.99,58.0,98.0
HellSign,10,64.79,71.99,74.0,1367.0
Angels of Death,40,21.59,35.99,93.0,2877.0
One Finger Death Punch 2,75,7.24,28.99,97.0,2879.0
Homefront: Express 870 Shotgun,50,1.79,3.59,87.0,32.0
Trine 2: Complete Story,75,17.99,71.99,95.0,13217.0
INFRA,70,32.39,107.99,88.0,1284.0
Vaporum Loyalty Bundle,51,66.85,136.98,88.0,712.0
Bus Driver Simulator - Hungarian Legend,75,1.99,7.99,89.0,39.0
Arkham Horror: Mother's Embrace,20,57.59,71.99,,
Sakura Succubus 3,35,23.39,35.99,91.0,60.0
Unity of Command II + DLC + Soundtrack,46,97.17,179.97,81.0,853.0
Dogfight 1942 Fire Over Africa,65,3.84,10.99,,
Dogfight 1942 Russia Under Siege,65,3.84,10.99,100.0,10.0
The Warriorlock,90,3.59,35.99,75.0,16.0
BioShock™ 2 Remastered,67,28.34,85.9,63.0,9763.0
Super Trench Attack!,90,1.79,17.99,91.0,1046.0
Sakura Succubus,55,16.19,35.99,80.0,208.0
Europa Universalis IV: Muslim Ships Unit Pack,50,3.59,7.19,,
Europa Universalis IV: Muslim Advisor Portraits,50,3.59,7.19,52.0,34.0
Europa Universalis IV: National Monuments II,50,3.59,7.19,32.0,56.0
Europa Universalis IV: Trade Nations Unit Pack,50,3.59,7.19,65.0,20.0
Starpoint Gemini 3,55,53.99,119.99,56.0,486.0
Europa Universalis IV: Native Americans II Unit Pack,50,3.59,7.19,53.0,13.0
Little Big Workshop - The Evil DLC,20,31.99,39.99,50.0,24.0
Road Redemption,65,25.19,71.99,81.0,7170.0
Hacknet,80,7.19,35.99,93.0,10887.0
Europa Universalis IV: Wealth of Nations Content Pack,57,6.24,14.38,62.0,29.0
😋 Russian Flex Pack 😋,63,2.68,7.18,91.0,3651.0
City of Brass,90,7.19,71.99,80.0,517.0
Escape Room Bundle,36,45.99,71.98,91.0,118.0
Just Hero,50,1.79,3.59,62.0,67.0
Aven Colony - Cerulean Vale,75,2.74,10.99,58.0,17.0
Lumberjack's Dynasty - Digital Supporter Edition,17,76.16,91.98,72.0,1064.0
Valfaris,50,44.99,89.99,91.0,797.0
Hiveswap Friendsim,50,1.79,3.59,94.0,988.0
Foodie Bear,75,1.79,7.19,,
Tales of the Neon Sea,65,21.34,60.99,82.0,1067.0
Flatland: Prologue,50,1.79,3.59,,
The Protagonist: EX-1,10,42.29,46.99,,
Aground,25,40.49,53.99,95.0,784.0
A-Tech Cybernetic VR Tylko VR,80,14.39,71.99,70.0,422.0
Sakura Succubus 2,50,17.99,35.99,89.0,109.0
Path of Sin: Greed,70,10.79,35.99,84.0,66.0
Europa Universalis IV: El Dorado Collection,55,34.18,75.98,69.0,356.0
Chronology,90,1.79,17.99,90.0,264.0
Call to Arms - Deluxe Edition upgrade,75,13.49,53.99,77.0,75.0
Knights of Pen and Paper 2,75,7.24,28.99,88.0,1633.0
Minicraft Shooter,40,2.15,3.59,,
Cultures - Northland,90,1.79,17.99,81.0,352.0
Vindictive Drive,80,2.19,10.99,81.0,11.0
30 days to survive,90,2.19,21.99,86.0,76.0
Sanator: Scarlet Scarf,60,14.39,35.99,89.0,199.0
Alice's Patchworks 2,90,1.79,17.99,79.0,79.0
Energy Cycle,80,2.19,10.99,78.0,50.0
Dying Light - Gun Psycho Bundle,33,6.69,9.99,86.0,134.0
Survivalist: Invisible Strain,20,20.39,25.49,89.0,1287.0
The Quest,50,17.99,35.99,86.0,350.0
Dying Light - Godfather Bundle,33,7.36,10.99,77.0,59.0
Charlie Collection,46,56.53,105.47,73.0,19.0
Yooka-Laylee and the Impossible Lair,60,43.19,107.99,91.0,377.0
Skullgirls 2nd Encore,60,36.0,89.99,95.0,14123.0
Retro Snake,75,1.79,7.19,50.0,16.0
rooMaze,75,1.79,7.19,66.0,117.0
SACRALITH : The Archer`s Tale Tylko VR,50,35.99,71.99,86.0,200.0
RunGunJumpGun - Soundtrack/Special Edition Upgrade,75,1.79,7.19,,
Civil War: Battle of Petersburg,50,1.79,3.59,74.0,82.0
Alcatraz Builder,90,1.79,17.99,,
Salvage Op Tylko VR,50,1.79,3.59,,
FortressCraft Evolved: Frozen Factory Expansion,75,13.49,53.99,84.0,46.0
Constricting Cubes Obsługa VR,50,1.79,3.59,,
2D Neon Cube,87,1.88,14.49,67.0,64.0
She Sees Red - Interactive Movie,70,8.69,28.97,79.0,1775.0
Entry Team Bundle,27,92.14,125.98,94.0,6835.0
Bus Driver Simulator - Soviet Legend,75,1.99,7.99,100.0,14.0
Bus Driver Simulator - Old Legend,75,1.99,7.99,,
Figment,90,7.19,71.99,86.0,397.0
Rogue Empire: Dungeon Crawler RPG,20,43.19,53.99,85.0,240.0
Endless Fables 2: Frozen Path,70,10.79,35.99,91.0,73.0
School Owner,67,23.75,71.99,30.0,43.0
BioShock Infinite - Season Pass,50,42.95,85.9,91.0,534.0
BioShock 2: Minerva's Den Remastered,67,14.15,42.9,88.0,349.0
3D Hardcore Cube,83,1.86,10.99,54.0,81.0
Dying Light - The Bozak Horde,33,20.09,29.99,54.0,904.0
Gothic Girls Soundtrack,75,1.79,7.19,,
Good puzzle,75,1.79,7.19,100.0,10.0
BOOKS,50,1.79,3.59,65.0,95.0
"Hamlet or the Last Game without MMORPG Features, Shaders ...",90,1.79,17.99,66.0,270.0
Dying Light - White Death Bundle,33,6.69,9.99,67.0,56.0
Lumberjack's Dynasty - Digital Supporter Pack,10,19.79,21.99,,
Lovely Fox,50,1.79,3.59,76.0,26.0
Ballex,25,10.86,14.49,91.0,271.0
